,count,mean,std,min,25%,50%,75%,max,dtypes,n_na
Severity,250962.0,2.518193989528295,1.3396131543296932,1.0,1.0,3.0,4.0,4.0,,
secu,213705.0,17.545672773215415,19.267687179223316,0.0,11.0,11.0,21.0,93.0,,
YoB,250962.0,1974.6564539651422,18.76551056972986,1897.0,1962.0,1978.0,1989.0,2021.0,,
secu1,37257.0,0.9126070268674343,0.28241384902386363,0.0,1.0,1.0,1.0,1.0,,
secu2,37257.0,1.191695520304909,3.1552967088810084,-1.0,-1.0,0.0,0.0,9.0,,
SecuA,213705.0,2.2095458693058188,2.5664705488037365,1.0,1.0,1.0,2.0,9.0,,
SecuB,213705.0,0.7795793266418661,0.41453130665346305,0.0,1.0,1.0,1.0,1.0,,
Security,250962.0,0.7993281851435675,0.4005037786741866,0.0,1.0,1.0,1.0,1.0,,
Num_Acc,250962.0,201226458471.4254,497378067.49253434,200500000014.0,200800024242.0,201200018589.0,201700005747.0,202100056515.0,,
num_occupants,37257.0,0.05083608449418901,0.8612970624608774,0.0,0.0,0.0,0.0,34.0,,
year,250962.0,2012.2642471768634,4.973833926549401,2005.0,2008.0,2012.0,2017.0,2021.0,,
month,250962.0,6.686510308333532,3.378523496087454,1.0,4.0,7.0,10.0,12.0,,
day,250962.0,15.631486041711494,8.77159859510604,1.0,8.0,16.0,23.0,31.0,,
hhmm,250962.0,1393.864114885919,534.396112821408,0.0,1015.0,1500.0,1810.0,2359.0,,
day_of_week,250962.0,2.9878826276488075,1.9425527604483872,0.0,1.0,3.0,5.0,6.0,,
is_weekend,250962.0,0.267598281811589,0.4427078295431943,0.0,0.0,0.0,1.0,1.0,,
Lanes,250962.0,2.1554817063937968,1.5268617722804605,-1.0,2.0,2.0,2.0,76.0,,
Landmark,250962.0,44.585327659167525,307.9266998495583,0.0,0.0,0.0,9.0,9645.0,,
Dist_to_Landmark,250962.0,156.29095241510666,297.35916882107796,0.0,0.0,0.0,200.0,8902.0,,
Gre_Verge,250962.0,4.453722077445988,21.229718924212335,0.0,0.0,0.0,0.0,915.0,,
Rd_Width,250962.0,47.928451319323244,63.166393335743926,-1.0,0.0,45.0,73.0,999.0,,
Age,250962.0,37.607793211721294,18.327593831109233,0.0,23.0,34.0,50.0,120.0,,
daylight_1,250962.0,0.6889050932013612,0.46294245834591735,0.0,0.0,1.0,1.0,1.0,,
daylight_2,250962.0,0.059618587674628035,0.23677929613126047,0.0,0.0,0.0,0.0,1.0,,
daylight_3,250962.0,0.08416015173611942,0.27762839862693084,0.0,0.0,0.0,0.0,1.0,,
daylight_4,250962.0,0.00814864401781943,0.08990147842871138,0.0,0.0,0.0,0.0,1.0,,
daylight_5,250962.0,0.15916752337007195,0.36583296209781513,0.0,0.0,0.0,0.0,1.0,,
built-up_area_0,250962.0,0.34796901522939727,0.476327076430419,0.0,0.0,0.0,1.0,1.0,,
built-up_area_1,250962.0,0.6520309847706027,0.476327076430419,0.0,0.0,1.0,1.0,1.0,,
intersection_category_0,250962.0,8.766267403033128e-05,0.00936244298050718,0.0,0.0,0.0,0.0,1.0,,
intersection_category_1,250962.0,0.695416039081614,0.4602319150988782,0.0,0.0,1.0,1.0,1.0,,
intersection_category_2,250962.0,0.12909922617766834,0.3353103994604335,0.0,0.0,0.0,0.0,1.0,,
intersection_category_3,250962.0,0.09288657246913876,0.29027399619687366,0.0,0.0,0.0,0.0,1.0,,
intersection_category_4,250962.0,0.015400737960328655,0.12314063363717462,0.0,0.0,0.0,0.0,1.0,,
intersection_category_5,250962.0,0.009025270758122744,0.09457193497086122,0.0,0.0,0.0,0.0,1.0,,
intersection_category_6,250962.0,0.02733083096245647,0.16304589099267883,0.0,0.0,0.0,0.0,1.0,,
intersection_category_7,250962.0,0.007710330647667774,0.08746949145449359,0.0,0.0,0.0,0.0,1.0,,
intersection_category_8,250962.0,0.001306970776452212,0.03612849021062548,0.0,0.0,0.0,0.0,1.0,,
intersection_category_9,250962.0,0.02173635849252078,0.14582171971918545,0.0,0.0,0.0,0.0,1.0,,
atmospheric_conditions_-1.0,250962.0,3.984667001378695e-06,0.001996163069836403,0.0,0.0,0.0,0.0,1.0,,
atmospheric_conditions_1.0,250962.0,0.806277444393972,0.3952148142966826,0.0,1.0,1.0,1.0,1.0,,
